X,X_WGS84,Y_WGS84,Lacerta
842,-3.550776,42.855492,1
843,-3.427146,42.675917,1
844,-3.427764,42.765967,1
845,-3.305548,42.766358,1
846,-4.172933,43.391078,1
847,-4.049488,43.392278,1
848,-3.555644,43.395744,1
849,-3.556469,43.485781,1
850,-2.940256,41.325738,1
851,-2.938623,43.036898,1
852,-2.938533,43.126945,1
853,-2.938442,43.21699,1
854,-2.938352,43.307034,1
855,-2.815599,43.126813,1
856,-2.815055,43.306901,1
857,-2.692666,43.126549,1
858,-2.692214,43.216593,1
859,-2.69176,43.306636,1
860,-2.445994,43.215666,1
861,-2.694009,42.856408,1
862,-2.322889,43.215003,1
863,-2.199789,43.214208,1
864,-2.198609,43.304244,1
865,-2.075332,43.303313,1
866,-2.814782,43.396944,1
867,-2.691304,43.396677,1
868,-9.402552,38.712302,1
869,-9.403058,38.802415,1
870,-9.2879,38.802755,1
871,-9.290105,39.343408,1
872,-9.174288,39.433744,1
873,-9.058096,39.43386,1
874,-9.058171,39.523963,1
875,-9.058246,39.614066,1
876,-9.404078,38.982636,1
877,-9.404591,39.072744,1
878,-9.288264,38.892867,1
879,-9.288629,38.982978,1
880,-9.289364,39.163196,1
881,-9.173178,38.983207,1
882,-9.173398,39.073317,1
883,-9.173619,39.163426,1
884,-9.057726,38.983321,1
885,-9.057799,39.073431,1
886,-9.057947,39.253648,1
887,-8.717021,37.541036,1
888,-8.715992,37.811427,1
889,-8.603831,37.540711,1
890,-8.603353,37.630841,1
891,-8.602873,37.720971,1
892,-8.718036,37.270632,1
893,-8.717699,37.360768,1
894,-8.717361,37.450903,1
895,-8.605252,37.27031,1
896,-8.604781,37.360445,1
897,-8.604307,37.450578,1
898,-8.492471,37.26988,1
899,-8.491865,37.360014,1
900,-8.378951,37.359475,1
901,-8.941829,39.523963,1
902,-8.941754,39.614066,1
903,-8.825034,39.704049,1
904,-8.708391,39.703815,1
905,-8.59175,39.703463,1
906,-8.475111,39.702995,1
907,-8.359308,39.612313,1
908,-8.244782,39.431423,1
909,-8.243807,39.521518,1
910,-8.242827,39.611613,1
911,-8.241844,39.701706,1
912,-8.126351,39.610795,1
913,-8.013704,39.33959,1
914,-8.00988,39.609861,1
915,-7.893415,39.60881,1
916,-8.824806,39.794148,1
917,-8.824577,39.884246,1
918,-8.824347,39.974342,1
919,-8.708011,39.793913,1
920,-8.707629,39.88401,1
921,-8.707246,39.974105,1
922,-8.706861,40.064199,1
923,-8.706474,40.154292,1
924,-8.591218,39.79356,1
