X,X_WGS84,Y_WGS84,Rana
766,-3.770313,40.782709,1
767,-3.771356,40.872784,1
768,-3.772403,40.962856,1
769,-3.773456,41.052928,1
770,-3.430265,43.126153,1
771,-3.307334,43.126549,1
772,-3.307786,43.216593,1
773,-3.061558,43.21699,1
774,-2.938623,43.036898,1
775,-2.816137,42.946719,1
776,-2.815868,43.036767,1
777,-2.815599,43.126813,1
778,-2.693563,42.946456,1
779,-2.692666,43.126549,1
780,-2.69176,43.306636,1
781,-2.569102,43.216196,1
782,-2.203296,42.944094,1
783,-2.814782,43.396944,1
784,-2.691304,43.396677,1
785,-9.058246,39.614066,1
786,-9.058322,39.704166,1
787,-8.941678,39.704166,1
788,-8.708391,39.703815,1
789,-8.59175,39.703463,1
790,-8.477145,39.432699,1
791,-8.358476,39.702409,1
792,-8.244782,39.431423,1
793,-8.243807,39.521518,1
794,-8.242827,39.611613,1
795,-8.241844,39.701706,1
796,-8.127481,39.520703,1
797,-8.126351,39.610795,1
798,-8.125216,39.700886,1
799,-8.00988,39.609861,1
800,-8.008594,39.699948,1
801,-8.941602,39.794266,1
802,-8.824347,39.974342,1
803,-8.591218,39.79356,1
804,-8.590683,39.883656,1
805,-8.47374,39.883184,1
806,-8.47305,39.973277,1
807,-8.472356,40.063368,1
808,-8.47166,40.153458,1
809,-8.357639,39.792502,1
810,-8.3568,39.882595,1
811,-8.355956,39.972686,1
812,-8.355108,40.062775,1
813,-8.354257,40.152863,1
814,-8.240856,39.791797,1
815,-8.239863,39.881887,1
816,-8.238866,39.971976,1
817,-8.237864,40.062063,1
818,-8.236858,40.152149,1
819,-8.124076,39.790974,1
820,-8.122931,39.881062,1
821,-8.121781,39.971148,1
822,-8.120625,40.061233,1
823,-8.119464,40.151316,1
824,-8.007302,39.790034,1
825,-8.006004,39.880119,1
826,-8.0047,39.970202,1
827,-8.003391,40.060283,1
828,-8.002075,40.150363,1
829,-7.890533,39.788976,1
830,-7.889083,39.879058,1
831,-7.887626,39.969137,1
832,-7.886162,40.059215,1
833,-7.884692,40.149292,1
834,-7.547816,39.424809,1
835,-7.433696,39.333229,1
836,-7.431681,39.423301,1
837,-7.317718,39.33161,1
838,-7.315555,39.421677,1
839,-7.435701,39.243156,1
840,-7.322016,39.151473,1
841,-7.319872,39.241543,1
842,-7.20175,39.329876,1
843,-7.206345,39.14975,1
844,-7.204053,39.239814,1
845,-7.093112,39.057853,1
846,-7.090683,39.147912,1
847,-7.773771,39.787801,1
848,-7.772168,39.877879,1
849,-7.770558,39.967955,1
850,-7.768941,40.058029,1
851,-7.767316,40.148102,1
852,-7.655261,39.876582,1
853,-7.653498,39.966654,1
854,-7.651726,40.056724,1
855,-7.649947,40.146793,1
856,-7.53452,40.055301,1
857,-7.532586,40.145365,1
858,-7.417322,40.053759,1
859,-7.415234,40.143818,1
860,-7.180558,40.140368,1
861,-7.063236,40.138464,1
862,-8.705694,40.334473,1
863,-8.705302,40.424561,1
864,-8.587425,40.4242,1
865,-8.586319,40.60437,1
