x,y,species cloglog values
594.0,594.0,0.002005369
595.0,595.0,0.20314488
596.0,596.0,0.009120058
597.0,597.0,0.0056443787
598.0,598.0,0.00226614
599.0,599.0,0.5672325
600.0,600.0,0.00285641
601.0,601.0,0.13695641
602.0,602.0,0.862303
603.0,603.0,0.32598507
604.0,604.0,0.14768428
605.0,605.0,0.039655283
606.0,606.0,0.004381887
607.0,607.0,0.2604875
608.0,608.0,0.032003786
609.0,609.0,0.2581265
610.0,610.0,0.018849373
611.0,611.0,0.6601212
612.0,612.0,4.915939E-4
613.0,613.0,0.21612604
614.0,614.0,0.007563541
615.0,615.0,0.06376763
616.0,616.0,0.1783666
617.0,617.0,0.8766972
618.0,618.0,0.84217376
619.0,619.0,0.15674779
620.0,620.0,4.6165677E-4
621.0,621.0,0.6886593
622.0,622.0,1.9255193E-4
623.0,623.0,0.11488103
624.0,624.0,0.0046249903
625.0,625.0,0.9006039
626.0,626.0,0.062255803
627.0,627.0,0.0022263813
628.0,628.0,0.3158566
629.0,629.0,2.518296E-5
630.0,630.0,0.098225385
631.0,631.0,0.030098587
632.0,632.0,0.178295
633.0,633.0,0.62044543
634.0,634.0,2.8289904E-4
635.0,635.0,0.7784405
636.0,636.0,3.5040146E-5
637.0,637.0,0.0015011065
638.0,638.0,4.903345E-4
639.0,639.0,0.050988924
640.0,640.0,3.0074004E-4
641.0,641.0,0.0033981388
642.0,642.0,0.0010918778
643.0,643.0,5.5120187E-4
644.0,644.0,2.1324545E-4
645.0,645.0,0.7414129
646.0,646.0,0.0024075743
647.0,647.0,0.39945114
648.0,648.0,0.14677617
649.0,649.0,0.2532769
650.0,650.0,0.0010406887
651.0,651.0,0.020379636
652.0,652.0,0.0011245367
653.0,653.0,0.0074026813
654.0,654.0,0.06994438
655.0,655.0,9.0145407E-4
656.0,656.0,2.282834E-4
657.0,657.0,5.616738E-4
658.0,658.0,4.3641272E-4
659.0,659.0,8.082003E-6
660.0,660.0,0.05266799
661.0,661.0,0.8863346
662.0,662.0,4.316695E-4
663.0,663.0,0.13613574
664.0,664.0,0.01160403
665.0,665.0,0.01573589
666.0,666.0,0.09015963
667.0,667.0,0.7133756
668.0,668.0,5.183551E-4
669.0,669.0,7.982592E-4
670.0,670.0,0.64096475
671.0,671.0,4.974884E-4
672.0,672.0,4.5702723E-4
673.0,673.0,6.3953514E-4
674.0,674.0,0.14497982
675.0,675.0,0.18254691
676.0,676.0,0.007313318
677.0,677.0,0.7865684
678.0,678.0,0.7919798
679.0,679.0,0.0011041552
680.0,680.0,0.080318026
681.0,681.0,0.038696855
682.0,682.0,0.020240925
683.0,683.0,0.1811653
684.0,684.0,0.059761375
685.0,685.0,9.277292E-4
686.0,686.0,0.011049222
687.0,687.0,0.5387095
688.0,688.0,0.0037723915
689.0,689.0,0.013184626
690.0,690.0,1.3090941E-4
691.0,691.0,0.46660268
692.0,692.0,0.0012782571
693.0,693.0,0.06582649
694.0,694.0,0.0021861603
695.0,695.0,0.025675913
696.0,696.0,4.4758483E-5
697.0,697.0,0.060194112
698.0,698.0,0.11462077
699.0,699.0,0.0076055783
700.0,700.0,0.22339563
701.0,701.0,0.0025927178
702.0,702.0,0.7973452
703.0,703.0,0.10392824
704.0,704.0,0.00786423
705.0,705.0,0.0017910823
706.0,706.0,0.0025728184
707.0,707.0,0.00224275
708.0,708.0,3.6440295E-5
709.0,709.0,0.18611623
710.0,710.0,0.016822692
711.0,711.0,0.73924893
712.0,712.0,6.5856E-5
713.0,713.0,0.01210071
714.0,714.0,0.0018386664
715.0,715.0,0.0025656212
716.0,716.0,0.011140385
717.0,717.0,7.9676096E-4
718.0,718.0,3.4647633E-4
719.0,719.0,0.008518317
720.0,720.0,7.7674794E-4
721.0,721.0,0.50852346
722.0,722.0,5.181834E-4
723.0,723.0,0.0022897308
724.0,724.0,0.0067237495
725.0,725.0,0.0015419236
726.0,726.0,1.0745016E-4
727.0,727.0,0.81185895
728.0,728.0,4.8278112E-4
729.0,729.0,0.022939961
730.0,730.0,0.0015975485
731.0,731.0,0.016950453
732.0,732.0,0.0040931283
733.0,733.0,0.15934305
734.0,734.0,0.0023605474
735.0,735.0,0.02000464
736.0,736.0,3.44051E-4
737.0,737.0,0.005705094
738.0,738.0,1.1823908E-4
739.0,739.0,0.0023690795
740.0,740.0,0.54641944
741.0,741.0,0.008121547
742.0,742.0,0.0014892628
743.0,743.0,4.344847E-4
744.0,744.0,0.120418385
745.0,745.0,0.21133201
746.0,746.0,0.19565937
747.0,747.0,0.033813626
748.0,748.0,2.4672685E-4
749.0,749.0,0.10907785
750.0,750.0,3.1185598E-4
751.0,751.0,6.318608E-5
752.0,752.0,0.1093833
753.0,753.0,0.0028453807
754.0,754.0,0.032978736
755.0,755.0,0.0027005805
756.0,756.0,6.4449414E-4
757.0,757.0,2.8080135E-4
758.0,758.0,3.3319474E-4
759.0,759.0,6.6869707E-6
760.0,760.0,9.2241593E-4
761.0,761.0,0.14535208
762.0,762.0,0.047022928
763.0,763.0,0.0900051
764.0,764.0,0.00859223
765.0,765.0,0.0061965347
766.0,766.0,0.10849223
767.0,767.0,0.010003117
768.0,768.0,0.0013419221
769.0,769.0,0.0022831194
770.0,770.0,0.019378344
771.0,771.0,0.012076702
772.0,772.0,0.055607032
773.0,773.0,0.008553308
774.0,774.0,0.0480097
775.0,775.0,0.10837853
776.0,776.0,0.003646878
777.0,777.0,0.0012926875
778.0,778.0,0.7977349
779.0,779.0,0.07713472
780.0,780.0,5.183128E-5
781.0,781.0,0.2511873
782.0,782.0,0.053561017
783.0,783.0,0.008802851
784.0,784.0,4.6904315E-4
785.0,785.0,0.7033275
786.0,786.0,1.1947826E-4
787.0,787.0,0.0679714
788.0,788.0,7.171054E-4
789.0,789.0,0.1012709
790.0,790.0,0.19056496
791.0,791.0,0.13694404
792.0,792.0,4.218831E-4
793.0,793.0,0.002130924
794.0,794.0,3.0223027E-4
795.0,795.0,0.38556048
796.0,796.0,0.814842
797.0,797.0,0.006652106
798.0,798.0,0.74995387
799.0,799.0,0.13045971
800.0,800.0,0.06842276
801.0,801.0,0.023948437
802.0,802.0,0.36770198
803.0,803.0,6.916385E-4
804.0,804.0,7.35217E-4
805.0,805.0,0.020801334
806.0,806.0,0.0026650482
807.0,807.0,0.17831321
808.0,808.0,0.07199518
809.0,809.0,0.15081589
810.0,810.0,0.0016932008
811.0,811.0,0.002478931
812.0,812.0,0.04575092
813.0,813.0,0.0010752885
814.0,814.0,0.71234876
815.0,815.0,0.0015134101
