X,Y,CENTROX,CENTROY,PM,XCOORD,YCOORD
-3.30964109213542,43.3055149632506,475000.0000,4795000.000,1,-3.309641,43.305515
-3.1863438004927,43.3057822874624,485000.0000,4795000.000,1,-3.186344,43.305782
-3.06304523830108,43.3059167030905,495000.0000,4795000.000,1,-3.063045,43.305917
-1.84539326049175,42.4896543237943,595000.0000,4705000.000,1,-1.845393,42.489654
-2.69670770198447,42.5851263867061,525000.0000,4715000.000,1,-2.696708,42.585126
-2.57484175924186,42.5847389918221,535000.0000,4715000.000,1,-2.574842,42.584739
-2.45297862446344,42.584221987292,545000.0000,4715000.000,1,-2.452979,42.584222
-2.69627015727212,42.6751808780336,525000.0000,4725000.000,1,-2.696270,42.675181
-2.57422841567691,42.6747922674637,535000.0000,4725000.000,1,-2.574228,42.674792
-2.45218949721901,42.6742736405425,545000.0000,4725000.000,1,-2.452189,42.674274
-2.33015421092046,42.6736250068413,555000.0000,4725000.000,1,-2.330154,42.673625
-1.84206556172534,42.6697306796048,595000.0000,4725000.000,1,-1.842066,42.669731
-2.57361224896668,42.7648441177412,535000.0000,4735000.000,1,-2.573612,42.764844
-2.45139673780139,42.7643238637859,545000.0000,4735000.000,1,-2.451397,42.764324
-2.32918487846804,42.763673195232,555000.0000,4735000.000,1,-2.329185,42.763673
-2.20697748421637,42.7628921241127,565000.0000,4735000.000,1,-2.206977,42.762892
-2.08477536810831,42.7619806648716,575000.0000,4735000.000,1,-2.084775,42.761981
-1.84039022142702,42.759766651847,595000.0000,4735000.000,1,-1.840390,42.759767
-2.81778682196224,42.855545806573,515000.0000,4745000.000,1,-2.817787,42.855546
-2.69538901494085,42.8552855946807,525000.0000,4745000.000,1,-2.695389,42.855286
-2.57299324381961,42.8548945422802,535000.0000,4745000.000,1,-2.572993,42.854895
-2.45060032653776,42.8543726566195,545000.0000,4745000.000,1,-2.450600,42.854373
-2.32821108091405,42.8537199473711,555000.0000,4745000.000,1,-2.328211,42.853720
-2.20582632461216,42.8529364266315,565000.0000,4745000.000,1,-2.205826,42.852936
-2.08344687510621,42.8520221089206,575000.0000,4745000.000,1,-2.083447,42.852022
-1.96107354964632,42.8509770111805,585000.0000,4745000.000,1,-1.961074,42.850977
-1.83870716522409,42.8498011527752,595000.0000,4745000.000,1,-1.838707,42.849801
-2.94009873506968,42.9457266193421,505000.0000,4755000.000,1,-2.940099,42.945727
-2.81752145299248,42.9455968471313,515000.0000,4755000.000,1,-2.817521,42.945597
-2.69494539541845,42.9453358193077,525000.0000,4755000.000,1,-2.694945,42.945336
-2.57237138482476,42.9449435407199,535000.0000,4755000.000,1,-2.572371,42.944944
-2.44980024360173,42.944420018654,545000.0000,4755000.000,1,-2.449800,42.944420
-2.32723279401805,42.9437652628336,555000.0000,4755000.000,1,-2.327233,42.943765
-2.20466985818589,42.942979285419,565000.0000,4755000.000,1,-2.204670,42.942979
-2.08211225802607,42.9420621010067,575000.0000,4755000.000,1,-2.082112,42.942062
-1.95956081523323,42.9410137266284,585000.0000,4755000.000,1,-1.959561,42.941014
-1.83701635124107,42.9398341817502,595000.0000,4755000.000,1,-1.837016,42.939834
-2.94001122131602,43.0357766461772,505000.0000,4765000.000,1,-2.940011,43.035777
-2.81725485952289,43.0356464671444,515000.0000,4765000.000,1,-2.817255,43.035646
-2.69449972891312,43.0353846210317,525000.0000,4765000.000,1,-2.694500,43.035385
-2.57174665645065,43.0349911127132,535000.0000,4765000.000,1,-2.571747,43.034991
-2.4489964690118,43.0344659495135,545000.0000,4765000.000,1,-2.448996,43.034466
-2.32624999335005,43.0338091412076,555000.0000,4765000.000,1,-2.326250,43.033809
-2.20350805606087,43.0330207000202,565000.0000,4765000.000,1,-2.203508,43.033021
-2.08077148354657,43.0321006406248,575000.0000,4765000.000,1,-2.080771,43.032101
-1.95804110198114,43.0310489801431,585000.0000,4765000.000,1,-1.958041,43.031049
-1.83531773727514,43.0298657381442,595000.0000,4765000.000,1,-1.835318,43.029866
-2.93992330340462,43.1258252533495,505000.0000,4775000.000,1,-2.939923,43.125825
-2.81698703487318,43.1256946663154,515000.0000,4775000.000,1,-2.816987,43.125695
-2.69405200425772,43.1254319995411,525000.0000,4775000.000,1,-2.694052,43.125432
-2.57111904304418,43.1250372579267,535000.0000,4775000.000,1,-2.571119,43.125037
-2.20234088913417,43.1230606699929,565000.0000,4775000.000,1,-2.202341,43.123061
-2.07942451808542,43.1221377272818,575000.0000,4775000.000,1,-2.079425,43.122138
-1.95651437183086,43.1210827711737,585000.0000,4775000.000,1,-1.956514,43.121083
-1.83361128079301,43.1198958213412,595000.0000,4775000.000,1,-1.833611,43.119896
-2.93983497912531,43.2158724405833,505000.0000,4785000.000,1,-2.939835,43.215872
-2.81671797231066,43.215741444361,515000.0000,4785000.000,1,-2.816718,43.215741
-2.69360221019752,43.2154779545382,525000.0000,4785000.000,1,-2.693602,43.215478
-2.57048852882936,43.2150819760409,535000.0000,4785000.000,1,-2.570489,43.215082
-2.44737776416033,43.2145535162717,545000.0000,4785000.000,1,-2.447378,43.214554
-2.2011683280746,43.213099194908,565000.0000,4785000.000,1,-2.201168,43.213099
-2.07807132779689,43.2121733604976,575000.0000,4785000.000,1,-2.078071,43.212173
-1.95498058642467,43.2111150991815,585000.0000,4785000.000,1,-1.954981,43.211115
-1.83189693892781,43.2099244307366,595000.0000,4785000.000,1,-1.831897,43.209924
-2.93974624625056,43.3059182076164,505000.0000,4795000.000,1,-2.939746,43.305918
-2.81644766504969,43.305786801012,515000.0000,4795000.000,1,-2.816448,43.305787
-2.69315033538928,43.3055224857391,525000.0000,4795000.000,1,-2.693150,43.305522
-2.56985509790623,43.3051252667499,535000.0000,4795000.000,1,-2.569855,43.305125
-2.44656279314727,43.3045951514863,545000.0000,4795000.000,1,-2.446563,43.304595
-2.32327426153274,43.3039321498794,555000.0000,4795000.000,1,-2.323274,43.303932
-2.19999034332041,43.3031362743493,565000.0000,4795000.000,1,-2.199990,43.303136
-2.07671187856929,43.3022075398043,575000.0000,4795000.000,1,-2.076712,43.302208
-1.95343970710344,43.3011459636398,585000.0000,4795000.000,1,-1.953440,43.301146
-1.83017466847587,43.2999515657376,595000.0000,4795000.000,1,-1.830175,43.299952
-0.994015232004525,42.4779121658579,665000.0000,4705000.000,1,-0.994015,42.477912
-0.750870998921134,42.4733966800236,685000.0000,4705000.000,1,-0.750871,42.473397
-0.629320636091787,42.47094569592,695000.0000,4705000.000,1,-0.629321,42.470946
-1.60008287347322,42.5769749858478,615000.0000,4715000.000,1,-1.600083,42.576975
-1.23467864199513,42.5719266866582,645000.0000,4715000.000,1,-1.234679,42.571927
-0.991132711969594,42.5679142331354,665000.0000,4715000.000,1,-0.991133,42.567914
-0.747639771008257,42.5633845818594,685000.0000,4715000.000,1,-0.747640,42.563385
-1.59806405027671,42.6670039003938,615000.0000,4725000.000,1,-1.598064,42.667004
-1.47607682466762,42.6654456886212,625000.0000,4725000.000,1,-1.476077,42.665446
-1.23213346793687,42.6619397644145,645000.0000,4725000.000,1,-1.232133,42.661940
-1.11017894923099,42.6599921166175,655000.0000,4725000.000,1,-1.110179,42.659992
-0.744393695968452,42.6533708683832,685000.0000,4725000.000,1,-0.744394,42.653371
-1.71820881573149,42.7584641389961,605000.0000,4735000.000,1,-1.718209,42.758464
-1.10744593085167,42.7499975465516,655000.0000,4735000.000,1,-1.107446,42.749998
-0.985327857953581,42.7479136414327,665000.0000,4735000.000,1,-0.985328,42.747914
-0.863223175990258,42.7456996249717,675000.0000,4735000.000,1,-0.863223,42.745700
-0.741132693710561,42.7433555380472,685000.0000,4735000.000,1,-0.741133,42.743356
-0.619057219268015,42.7408814239301,695000.0000,4735000.000,1,-0.619057,42.740881
-1.71634853853817,42.8484945554893,605000.0000,4745000.000,1,-1.716349,42.848495
-1.59399848595991,42.8470572435262,615000.0000,4745000.000,1,-1.593998,42.847057
-1.47165782349894,42.8454892435077,625000.0000,4745000.000,1,-1.471658,42.845489
-1.34932736676886,42.843790584472,635000.0000,4745000.000,1,-1.349327,42.843791
-1.22700793095296,42.841961297872,645000.0000,4745000.000,1,-1.227008,42.841961
-1.10470033076999,42.840001417574,655000.0000,4745000.000,1,-1.104700,42.840001
-0.982405380439962,42.8379109798552,665000.0000,4745000.000,1,-0.982405,42.837911
-0.860123893649996,42.8356900234023,675000.0000,4745000.000,1,-0.860124,42.835690
-0.737856683520306,42.8333385893091,685000.0000,4745000.000,1,-0.737857,42.833339
-0.615604562570124,42.8308567210741,695000.0000,4745000.000,1,-0.615605,42.830857
-1.71447968718756,42.9385234882715,605000.0000,4755000.000,1,-1.714480,42.938523
-1.59195164388024,42.9370816705235,615000.0000,4755000.000,1,-1.591952,42.937082
-1.46943304176153,42.9355087552685,625000.0000,4755000.000,1,-1.469433,42.935509
-1.34692470087402,42.9338047716977,635000.0000,4755000.000,1,-1.346925,42.933805
-1.22442744082594,42.93196975143,645000.0000,4755000.000,1,-1.224427,42.931970
-1.10194208075655,42.9300037285102,655000.0000,4755000.000,1,-1.101942,42.930004
-0.979469439301631,42.9279067394068,665000.0000,4755000.000,1,-0.979469,42.927907
-0.857010334559074,42.9256788230105,675000.0000,4755000.000,1,-0.857010,42.925679
-0.734565584054415,42.9233200206315,685000.0000,4755000.000,1,-0.734566,42.923320
-1.71260221504057,43.0285509366431,605000.0000,4765000.000,1,-1.712602,43.028551
-1.58989536055589,43.0271046000997,615000.0000,4765000.000,1,-1.589895,43.027105
-1.4671979987309,43.0255267554176,625000.0000,4765000.000,1,-1.467198,43.025527
-1.34451095407185,43.0238174319421,635000.0000,4765000.000,1,-1.344511,43.023817
-1.22183505064645,43.0219766614593,645000.0000,4765000.000,1,-1.221835,43.021977
-1.09917111204899,43.0200044781936,655000.0000,4765000.000,1,-1.099171,43.020004
-0.976519961365493,43.0179009188061,665000.0000,4765000.000,1,-0.976520,43.017901
-1.71071607509298,43.1185768999157,605000.0000,4775000.000,1,-1.710716,43.118577
-1.58782958451513,43.1171260314866,615000.0000,4775000.000,1,-1.587830,43.117126
-1.46495263847169,43.1155432430998,625000.0000,4775000.000,1,-1.464953,43.115543
-1.34208606596746,43.1138285642561,635000.0000,4775000.000,1,-1.342086,43.113829
-1.70882121997193,43.2086013774116,605000.0000,4785000.000,1,-1.708821,43.208601
-1.58575426388267,43.2071459639264,615000.0000,4785000.000,1,-1.585754,43.207146
